"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2017/08/01","00:00","6.768","5.666","4.961","3.215","3.23","1.499","0.584","-0.551","0"
"2017/09/01","00:00","6.083","5.525","5.026","3.258","3.281","1.535","0.728","-0.069","0"
"2017/10/01","00:00","6.066","5.22","4.849","3.045","3.079","1.309","0.453","-0.148","0"
"2017/11/01","00:00","6.503","5.472","4.879","3.031","3.066","1.253","0.213","-0.912","0"
"2017/12/01","00:00","6.824","5.666","4.829","2.969","2.99","1.152","-0.102","-1.49","0"
"2018/01/01","00:00","7.051","5.722","4.826","2.949","2.989","1.152","-0.089","-1.526","0"
"2018/02/01","00:00","6.624","5.341","4.639","2.838","2.843","1.047","0.066","-1.316","0"
"2018/03/01","00:00","6.276","5.217","4.754","2.9","2.931","1.109","0.325","-0.699","0"
"2018/04/01","00:00","5.584","4.918","4.472","2.657","2.682","0.892","0.043","-0.741","0"
"2018/05/01","00:00","6.217","5.279","4.623","2.808","2.848","1.073","-0.033","-1.132","0"
"2018/06/01","00:00","6.785","5.482","4.692","2.884","2.927","1.161","-0.052","-1.253","0"
"2018/07/01","00:00","7.041","5.633","4.826","3.022","3.051","1.276","0.092","-1.404","0"
"2018/08/01","00:00","6.942","5.571","4.888","3.12","3.136","1.385","0.482","-1.125","0"
"2018/09/01","00:00","6.401","5.433","4.888","3.133","3.151","1.414","0.633","-0.679","0"
"2018/10/01","00:00","6.306","5.548","5.108","3.307","3.351","1.594","0.623","-0.154","0"
"2018/11/01","00:00","6.68","5.682","5.118","3.255","3.307","1.496","0.348","-0.692","0"
"2018/12/01","00:00","7.014","5.774","4.997","3.133","3.173","1.348","0.167","-1.322","0"
"2019/01/01","00:00","7.037","5.889","5.023","3.199","3.219","1.414","0.213","-1.594","0"
"2019/02/01","00:00","6.883","5.666","4.948","3.14","3.164","1.381","0.354","-1.483","0"
"2019/03/01","00:00","6.247","5.259","4.76","2.989","3.017","1.273","0.358","-0.62","0"
"2019/04/01","00:00","6.007","5.052","4.652","2.877","2.915","1.178","0.259","-0.627","0"
