"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2014/03/01","00:00","3.025","2.47","2.411","1.302","1.339","0.269","0.174","-0.203","0"
"2014/04/01","00:00","3.281","2.516","2.457","1.371","1.401","0.344","0.236","-0.243","0"
"2014/05/01","00:00","2.972","2.569","2.493","1.421","1.453","0.417","0.305","-0.157","0"
"2014/06/01","00:00","2.615","2.372","2.3","1.25","1.283","0.266","0.167","-0.394","0"
"2014/07/01","00:00","2.736","2.362","2.313","1.273","1.302","0.292","0.197","-0.2","0"
"2014/08/01","00:00","3.356","2.723","2.68","1.604","1.637","0.594","0.509","-0.052","0"
"2014/09/01","00:00","3.356","2.838","2.779","1.696","1.724","0.669","0.607","-0.016","0"
"2014/10/01","00:00","3.55","2.959","2.9","1.798","1.829","0.758","0.663","0.322","0"
"2014/11/01","00:00","3.445","3.009","2.93","1.814","1.852","0.774","0.653","0.19","0"
"2014/12/01","00:00","3.346","2.867","2.812","1.693","1.732","0.653","0.531","0.072","0"
"2015/01/01","00:00","3.307","2.556","2.493","1.401","1.44","0.387","0.262","-0.115","0"
"2015/02/01","00:00","3.054","2.605","2.539","1.447","1.48","0.42","0.318","-0.177","0"
"2015/03/01","00:00","2.982","2.254","2.178","1.132","1.155","0.131","0.039","-0.262","0"
"2015/04/01","00:00","3.074","2.365","2.306","1.237","1.271","0.236","0.135","-0.207","0"
"2015/05/01","00:00","2.812","2.477","2.388","1.329","1.363","0.338","0.226","-0.184","0"
"2015/06/01","00:00","2.667","2.211","2.139","1.089","1.119","0.098","-0.023","-0.436","0"
"2015/07/01","00:00","2.582","2.329","2.267","1.207","1.234","0.2","0.072","-0.276","0"
"2015/08/01","00:00","3.376","2.661","2.625","1.522","1.549","0.472","0.377","-0.003","0"
"2015/09/01","00:00","4.058","2.894","2.851","1.732","1.762","0.676","0.591","0.085","0"
"2015/10/01","00:00","3.911","3.497","3.448","2.297","2.329","1.211","1.109","0.354","0"
"2015/11/01","00:00","3.615","2.963","2.9","1.801","1.834","0.768","0.673","0.223","0"
"2015/12/01","00:00","3.369","2.808","2.749","1.677","1.709","0.669","0.564","-0.112","0"
"2016/01/01","00:00","3.373","2.74","2.671","1.588","1.627","0.584","0.456","-0.187","0"
"2016/03/01","00:00","3.031","2.359","2.313","1.247","1.286","0.259","0.167","-0.312","0"
"2016/04/01","00:00","2.982","2.628","2.556","1.467","1.506","0.453","0.374","-0.177","0"
"2016/05/01","00:00","3.556","2.556","2.484","1.388","1.422","0.361","0.266","-0.026","0"
"2016/06/01","00:00","2.989","2.467","2.392","1.302","1.335","0.279","0.157","-0.226","0"
"2016/07/01","00:00","2.805","2.323","2.28","1.217","1.247","0.213","0.085","-0.361","0"
"2016/08/01","00:00","3.012","2.552","2.49","1.424","1.45","0.41","0.322","-0.089","0"
"2016/09/01","00:00","3.031","2.602","2.556","1.496","1.524","0.492","0.423","-0.02","0"
"2016/10/01","00:00","4.049","3.343","3.271","2.169","2.203","1.135","1.04","0.44","0"
"2016/11/01","00:00","3.829","3.071","3.005","1.9","1.931","0.856","0.751","0.302","0"
"2016/12/01","00:00","3.261","2.526","2.451","1.375","1.406","0.361","0.246","-0.144","0"
"2017/01/01","00:00","3.087","2.431","2.352","1.273","1.307","0.262","0.154","-0.325","0"
"2017/02/01","00:00","2.631","2.224","2.172","1.109","1.147","0.121","0.01","-0.499","0"
"2017/03/01","00:00","2.943","2.287","2.221","1.145","1.176","0.131","0.036","-0.407","0"
"2017/04/01","00:00","3.281","2.71","2.631","1.529","1.56","0.489","0.371","-0.125","0"
"2017/05/01","00:00","2.887","2.405","2.303","1.217","1.247","0.19","0.075","-0.318","0"
"2017/06/01","00:00","2.881","2.51","2.438","1.378","1.404","0.371","0.272","-0.098","0"
"2017/07/01","00:00","2.949","2.566","2.507","1.46","1.486","0.466","0.348","-0.341","0"
"2017/08/01","00:00","2.743","2.451","2.405","1.378","1.404","0.404","0.289","-0.256","0"
"2017/09/01","00:00","5.81","3.179","3.087","2.018","2.044","1.001","0.906","0.397","0"
"2017/10/01","00:00","4.265","3.176","3.104","2.028","2.059","1.014","0.935","0.384","0"
"2017/11/01","00:00","3.56","2.989","2.933","1.821","1.864","0.794","0.673","0.046","0"
"2017/12/01","00:00","3.304","2.53","2.464","1.358","1.396","0.328","0.187","-0.213","0"
"2018/01/01","00:00","3.415","2.352","2.287","1.178","1.224","0.161","0.023","-0.548","0"
"2018/02/01","00:00","2.684","2.09","2.028","0.988","1.02","0.013","-0.115","-0.482","0"
"2018/03/01","00:00","3.228","2.769","2.717","1.598","1.639","0.561","0.469","-0.007","0"
"2018/04/01","00:00","2.989","2.431","2.352","1.27","1.311","0.269","0.164","-0.328","0"
"2018/05/01","00:00","2.661","2.188","2.1","1.096","1.125","0.151","0.01","-0.318","0"
"2018/06/01","00:00","2.864","2.379","2.3","1.26","1.289","0.279","0.161","-0.266","0"
"2018/07/01","00:00","2.953","2.47","2.398","1.355","1.383","0.367","0.256","-0.213","0"
"2018/08/01","00:00","3.074","2.461","2.421","1.375","1.404","0.387","0.292","-0.413","0"
"2018/09/01","00:00","3.53","2.812","2.756","1.683","1.709","0.663","0.551","0.154","0"
"2018/10/01","00:00","3.593","2.858","2.789","1.716","1.742","0.696","0.591","0.174","0"
"2018/11/01","00:00","3.566","2.831","2.762","1.667","1.699","0.636","0.531","0.066","0"
"2018/12/01","00:00","3.12","2.661","2.585","1.496","1.532","0.476","0.335","-0.499","0"
"2019/01/01","00:00","3.022","2.513","2.454","1.371","1.407","0.361","0.213","-0.459","0"
"2019/02/01","00:00","3.077","2.536","2.477","1.394","1.424","0.371","0.246","-0.203","0"
"2019/03/01","00:00","3.72","2.864","2.805","1.729","1.759","0.712","0.594","0.138","0"
"2019/04/01","00:00","3.12","2.589","2.53","1.476","1.501","0.472","0.364","-0.279","0"
"2019/05/01","00:00","2.969","2.536","2.451","1.404","1.432","0.413","0.285","-0.328","0"
"2019/06/01","00:00","3.048","2.559","2.484","1.427","1.455","0.427","0.285","-0.082","0"
"2019/07/01","00:00","3.415","2.661","2.598","1.539","1.562","0.525","0.39","0.007","0"
"2019/08/01","00:00","3.704","2.946","2.913","1.811","1.836","0.758","0.646","0.423","0"
"2019/09/01","00:00","4.104","3.386","3.333","2.215","2.241","1.148","1.04","0.617","0"
"2019/10/01","00:00","4.206","3.51","3.455","2.326","2.349","1.243","1.132","0.328","0"
"2019/11/01","00:00","3.957","3.389","3.333","2.228","2.26","1.188","1.066","0.102","0"
"2019/12/01","00:00","3.294","2.792","2.726","1.67","1.696","0.666","0.541","0.157","0"
"2020/01/01","00:00","3.53","2.51","2.428","1.391","1.422","0.417","0.282","-0.374","0"
"2020/02/01","00:00","3.209","2.388","2.306","1.263","1.294","0.282","0.167","-0.62","0"
"2020/03/01","00:00","3.186","2.369","2.306","1.273","1.299","0.292","0.161","-0.148","0"
"2020/04/01","00:00","3.261","2.539","2.474","1.411","1.44","0.407","0.285","-0.141","0"
"2020/05/01","00:00","2.986","2.661","2.592","1.539","1.562","0.531","0.43","-0.197","0"
"2020/06/01","00:00","3.091","2.743","2.68","1.631","1.655","0.63","0.502","0.059","0"
"2020/07/01","00:00","3.005","2.572","2.51","1.467","1.493","0.476","0.344","0.115","0"
"2020/08/01","00:00","3.438","2.756","2.71","1.66","1.688","0.666","0.548","0.217","0"
"2020/09/01","00:00","4.183","3.261","3.212","2.146","2.169","1.125","1.03","0.463","0"
"2020/10/01","00:00","4.177","3.376","3.314","2.238","2.265","1.217","1.125","0.597","0"
"2020/11/01","00:00","4.121","3.241","3.163","2.11","2.142","1.122","0.988","0.253","0"
"2020/12/01","00:00","3.054","2.536","2.448","1.398","1.439","0.43","0.282","-0.243","0"
"2021/01/01","00:00","2.933","2.323","2.254","1.204","1.243","0.233","0.098","-0.249","0"
"2021/02/01","00:00","2.963","2.421","2.352","1.332","1.36","0.367","0.262","-0.144","0"
"2021/03/01","00:00","2.871","2.582","2.526","1.457","1.483","0.44","0.328","-0.397","0"
"2021/04/01","00:00","3.428","2.575","2.503","1.447","1.478","0.453","0.331","-0.141","0"
"2021/05/01","00:00","2.933","2.523","2.431","1.391","1.422","0.413","0.279","-0.351","0"
"2021/06/01","00:00","2.602","2.323","2.244","1.227","1.252","0.259","0.118","-0.509","0"
"2021/07/01","00:00","3.022","2.444","2.372","1.365","1.385","0.397","0.266","-0.043","0"
"2021/08/01","00:00","3.14","2.661","2.618","1.604","1.634","0.646","0.515","0.308","0"
"2021/09/01","00:00","3.222","2.805","2.746","1.726","1.749","0.755","0.646","0.308","0"
"2021/10/01","00:00","3.419","3.005","2.953","1.913","1.942","0.932","0.827","0.472","0"
"2021/11/01","00:00","3.865","3.271","3.212","2.142","2.165","1.122","1.001","0.443","0"
"2021/12/01","00:00","3.35","2.808","2.743","1.66","1.69","0.64","0.502","0.075","0"
"2022/01/01","00:00","3.32","2.848","2.789","1.709","1.742","0.699","0.541","-0.098","0"
"2022/02/01","00:00","3.497","2.628","2.569","1.519","1.553","0.538","0.41","-0.02","0"
"2022/03/01","00:00","3.061","2.552","2.493","1.427","1.46","0.43","0.308","0.01","0"
"2022/04/01","00:00","3.127","2.592","2.523","1.476","1.503","0.482","0.354","-0.01","0"
"2022/05/01","00:00","3.75","2.844","2.766","1.716","1.745","0.725","0.607","0.184","0"
"2022/06/01","00:00","3.1","2.723","2.625","1.611","1.64","0.656","0.512","-0.118","0"
"2022/07/01","00:00","2.812","2.467","2.395","1.394","1.412","0.43","0.292","-0.243","0"
"2022/08/01","00:00","3.054","2.7","2.654","1.624","1.647","0.643","0.528","-0.121","0"
"2022/09/01","00:00","3.911","3.189","3.123","2.077","2.103","1.083","0.955","0.436","0"
"2022/10/01","00:00","3.914","3.488","3.428","2.352","2.38","1.332","1.211","0.666","0"
"2022/11/01","00:00","4.321","3.448","3.383","2.306","2.336","1.289","1.152","0.541","0"
