"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2015/05/01","00:00","6.243","5.112","4.787","2.507","2.418","0.049","-0.105","-0.886","0"
"2015/06/01","00:00","6.25","5.564","5.226","2.956","2.874","0.522","0.348","-0.325","0"
"2015/07/01","00:00","6.368","5.709","5.39","3.107","3.004","0.617","0.449","-0.279","0"
"2015/08/01","00:00","6.27","5.617","5.387","3.028","2.931","0.476","0.305","-0.892","0"
"2015/09/01","00:00","6.844","5.699","5.489","3.156","3.066","0.643","0.502","-0.879","0"
"2015/10/01","00:00","7.402","5.738","5.479","3.156","3.056","0.633","0.427","-1.014","0"
"2015/11/01","00:00","6.772","5.322","5.069","2.769","2.685","0.302","0.098","-1.05","0"
"2015/12/01","00:00","6.66","5.364","5.059","2.762","2.685","0.312","0.052","-1.503","0"
"2016/01/01","00:00","7.877","5.249","4.934","2.677","2.616","0.299","0.003","-2.369","0"
"2016/02/01","00:00","7.953","5.18","4.839","2.559","2.462","0.085","-0.131","-2.336","0"
"2016/03/01","00:00","6.555","5.194","4.964","2.723","2.62","0.276","0.089","-1.257","0"
"2016/04/01","00:00","7.057","5.39","5.141","2.841","2.756","0.371","0.082","-2.27","0"
"2016/05/01","00:00","7.418","5.417","5.167","2.831","2.744","0.322","0.092","-0.751","0"
"2016/06/01","00:00","6.811","5.548","5.243","2.881","2.789","0.335","0.108","-0.915","0"
"2016/07/01","00:00","6.25","5.607","5.285","2.927","2.835","0.384","0.187","-0.764","0"
"2016/08/01","00:00","6.434","5.502","5.236","2.89","2.805","0.374","0.21","-0.505","0"
"2016/09/01","00:00","6.86","5.728","5.522","3.225","3.138","0.755","0.574","-0.646","0"
"2016/10/01","00:00","6.89","5.584","5.302","3.005","2.913","0.525","0.325","-0.702","0"
"2016/11/01","00:00","6.696","5.276","4.925","2.654","2.569","0.213","-0.013","-1.594","0"
"2016/12/01","00:00","6.568","5.046","4.708","2.408","2.315","-0.079","-0.374","-2.451","0"
"2017/01/01","00:00","7.49","5.328","4.931","2.605","2.526","0.118","-0.138","-1.841","0"
"2017/02/01","00:00","6.302","5.105","4.806","2.497","2.411","0.016","-0.226","-2.457","0"
"2017/03/01","00:00","7.605","4.928","4.613","2.231","2.142","-0.325","-0.63","-2.169","0"
"2017/04/01","00:00","7.221","5.65","5.335","3.009","2.904","0.472","0.276","-0.869","0"
"2017/05/01","00:00","7.431","5.755","5.492","3.182","3.081","0.669","0.456","-0.328","0"
"2017/06/01","00:00","6.736","5.617","5.318","3.012","2.91","0.502","0.289","-0.883","0"
"2017/07/01","00:00","7.031","5.715","5.397","3.13","3.023","0.65","0.492","-0.236","0"
"2017/08/01","00:00","6.224","5.577","5.318","3.074","2.984","0.65","0.512","-0.463","0"
"2017/09/01","00:00","6.955","5.673","5.433","3.212","3.105","0.778","0.656","-0.617","0"
"2017/10/01","00:00","7.11","5.607","5.289","3.051","2.943","0.597","0.397","-0.722","0"
"2017/11/01","00:00","7.172","5.574","5.249","2.93","2.859","0.469","0.246","-0.866","0"
"2017/12/01","00:00","7.254","5.177","4.738","2.405","2.329","-0.079","-0.325","-2.028","0"
"2018/01/01","00:00","7.438","5","4.534","2.182","2.136","-0.262","-0.459","-3.314","0"
"2018/02/01","00:00","5.837","4.944","4.642","2.411","2.333","0.023","-0.217","-1.752","0"
"2018/03/01","00:00","7.9","5.794","5.499","3.192","3.11","0.722","0.495","-1.25","0"
"2018/04/01","00:00","7.398","5.371","5.112","2.838","2.73","0.348","0.092","-0.899","0"
"2018/05/01","00:00","6.834","5.525","5.207","2.946","2.864","0.525","0.318","-0.499","0"
"2018/06/01","00:00","6.726","5.787","5.446","3.202","3.117","0.791","0.6","-0.528","0"
"2018/07/01","00:00","6.562","5.614","5.285","3.058","2.982","0.679","0.486","-0.518","0"
"2018/08/01","00:00","6.949","5.758","5.453","3.205","3.107","0.761","0.584","-0.272","0"
"2018/09/01","00:00","7.694","6.024","5.774","3.478","3.402","1.03","0.876","-0.056","0"
"2018/10/01","00:00","8.373","5.699","5.344","3.068","2.971","0.597","0.387","-0.322","0"
"2018/11/01","00:00","7.746","5.62","5.184","2.887","2.802","0.42","0.125","-1.407","0"
"2018/12/01","00:00","7.247","5.627","5.22","2.917","2.841","0.463","0.233","-1.417","0"
"2019/01/01","00:00","7.484","5.236","4.852","2.625","2.541","0.23","-0.066","-2.969","0"
"2019/02/01","00:00","6.87","5.033","4.669","2.398","2.326","-0.016","-0.279","-1.614","0"
"2019/03/01","00:00","7.208","5.174","4.859","2.664","2.577","0.295","0.144","-2.251","0"
"2019/04/01","00:00","6.965","5.335","5.043","2.848","2.744","0.446","0.217","-1.155","0"
"2019/05/01","00:00","6.726","5.781","5.469","3.245","3.156","0.843","0.64","-0.108","0"
"2019/06/01","00:00","6.713","5.748","5.417","3.186","3.109","0.801","0.597","-0.197","0"
"2019/07/01","00:00","6.657","5.784","5.44","3.176","3.092","0.745","0.551","-0.085","0"
"2019/08/01","00:00","6.601","5.84","5.568","3.261","3.161","0.755","0.584","-0.725","0"
"2019/09/01","00:00","6.801","5.82","5.584","3.284","3.189","0.794","0.633","-0.489","0"
"2019/10/01","00:00","7.48","6.079","5.764","3.514","3.414","1.063","0.866","-1.414","0"
"2019/11/01","00:00","7.001","5.623","5.285","3.041","2.943","0.6","0.381","-1.562","0"
"2019/12/01","00:00","6.962","5.463","5.046","2.861","2.785","0.525","0.167","-1.949","0"
"2020/01/01","00:00","6.532","5.282","4.915","2.73","2.667","0.42","0.203","-1.293","0"
"2020/02/01","00:00","6.555","5.226","4.865","2.644","2.557","0.249","-0.036","-1.919","0"
"2020/03/01","00:00","6.814","5.492","5.203","3.025","2.943","0.682","0.482","-1.119","0"
"2020/04/01","00:00","7.303","5.696","5.42","3.192","3.086","0.751","0.551","-1.673","0"
"2020/05/01","00:00","7.139","5.42","5.121","2.894","2.792","0.459","0.184","-1.644","0"
"2020/06/01","00:00","6.66","5.709","5.384","3.114","3.025","0.666","0.459","-0.157","0"
"2020/07/01","00:00","6.745","5.86","5.502","3.258","3.166","0.833","0.61","-0.089","0"
"2020/08/01","00:00","6.598","5.758","5.453","3.202","3.105","0.758","0.597","-0.341","0"
"2020/09/01","00:00","6.985","5.758","5.479","3.284","3.186","0.892","0.712","-0.374","0"
"2020/10/01","00:00","7.31","5.653","5.371","3.159","3.061","0.755","0.591","-0.538","0"
"2020/11/01","00:00","6.969","5.299","4.954","2.74","2.664","0.377","0.125","-1.122","0"
"2020/12/01","00:00","7.608","5.476","5.049","2.831","2.772","0.495","0.21","-0.853","0"
"2021/01/01","00:00","7.142","5.541","5.131","2.923","2.849","0.568","0.256","-1.309","0"
"2021/02/01","00:00","7.789","5.486","5.121","2.933","2.885","0.65","0.39","-0.696","0"
"2021/03/01","00:00","6.962","5.115","4.754","2.48","2.382","0.01","-0.144","-2.825","0"
"2021/04/01","00:00","6.804","5.492","5.213","2.966","2.877","0.541","0.364","-1.027","0"
"2021/05/01","00:00","7.585","5.351","5.052","2.844","2.756","0.459","0.207","-1.148","0"
"2021/06/01","00:00","6.634","5.499","5.148","2.949","2.849","0.551","0.318","-0.663","0"
"2021/07/01","00:00","6.617","5.748","5.394","3.228","3.133","0.873","0.669","-0.105","0"
"2021/08/01","00:00","6.736","5.702","5.374","3.255","3.163","0.951","0.794","0.089","0"
"2021/09/01","00:00","6.49","5.735","5.4","3.278","3.182","0.961","0.82","0.039","0"
"2021/10/01","00:00","7.3","6.073","5.735","3.612","3.519","1.302","1.106","-0.213","0"
"2021/11/01","00:00","6.932","5.551","5.223","3.015","2.945","0.666","0.443","-0.456","0"
"2021/12/01","00:00","6.716","5.354","4.993","2.749","2.679","0.364","0.121","-1.69","0"
"2022/01/01","00:00","7.484","5.453","4.97","2.759","2.679","0.387","0.115","-1.309","0"
"2022/02/01","00:00","6.234","4.852","4.491","2.349","2.287","0.079","-0.112","-1.739","0"
"2022/03/01","00:00","6.45","5.059","4.708","2.605","2.5","0.292","0.075","-0.84","0"
"2022/04/01","00:00","7.444","5.335","5.016","2.874","2.762","0.509","0.289","-1.345","0"
"2022/05/01","00:00","6.864","5.778","5.44","3.271","3.179","0.919","0.722","-0.371","0"
"2022/06/01","00:00","6.975","5.712","5.308","3.176","3.084","0.863","0.64","-0.322","0"
"2022/07/01","00:00","6.696","5.554","5.164","3.038","2.93","0.699","0.486","-0.328","0"
"2022/08/01","00:00","6.844","5.656","5.318","3.133","3.038","0.755","0.564","-0.387","0"
"2022/09/01","00:00","7.054","5.804","5.459","3.255","3.169","0.879","0.735","-0.256","0"
"2022/10/01","00:00","6.952","5.86","5.525","3.333","3.253","0.981","0.787","-0.358","0"
