"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2019/04/01","00:00","3.13","2.014","1.906","1.45","1.434","0.961","0.666","-1.276","0"
"2019/05/01","00:00","3.645","2.631","2.543","2.067","2.049","1.555","1.306","0.453","0"
"2019/06/01","00:00","3.455","2.274","2.195","1.617","1.545","0.896","0.728","0.151","0"
"2019/07/01","00:00","2.654","2.165","2.113","1.578","1.448","0.784","0.663","-0.351","0"
"2019/08/01","00:00","2.27","1.89","1.86","1.355","1.363","0.866","0.495","-0.056","0"
"2019/09/01","00:00","3.435","2.671","2.674","2.149","2.174","1.673","1.401","0.108","0"
"2019/10/01","00:00","3.589","2.92","2.779","2.297","2.224","1.67","1.463","-0.627","0"
"2019/11/01","00:00","2.7","2.287","2.247","1.713","1.734","1.22","0.853","-0.374","0"
"2019/12/01","00:00","2.7","1.713","1.614","1.132","1.084","0.554","0.272","-1.001","0"
"2020/01/01","00:00","3.278","1.978","1.946","1.342","1.327","0.709","0.407","-0.899","0"
"2020/02/01","00:00","2.323","1.608","1.483","1.033","0.988","0.492","0.184","-1.293","0"
"2020/03/01","00:00","2.664","1.955","1.883","1.404","1.362","0.84","0.594","-0.85","0"
"2020/04/01","00:00","3.56","2.451","2.356","1.867","1.85","1.345","1.07","0.135","0"
"2020/05/01","00:00","3.438","2.316","2.178","1.696","1.652","1.125","0.866","-0.236","0"
"2020/06/01","00:00","3.422","2.398","2.343","1.814","1.75","1.158","0.955","0.092","0"
"2020/07/01","00:00","3.806","2.106","2.146","1.516","1.509","0.873","0.627","-0.187","0"
"2020/08/01","00:00","5.203","2.129","2.159","1.549","1.599","1.04","0.636","-0.331","0"
"2020/09/01","00:00","5.092","2.907","2.789","2.336","2.262","1.736","1.604","0.663","0"
"2020/10/01","00:00","3.862","2.552","2.346","1.995","1.87","1.394","1.247","-0.413","0"
"2020/11/01","00:00","3.159","2.526","2.405","1.893","1.826","1.247","1.037","-1.873","0"
"2020/12/01","00:00","3.717","1.65","1.516","0.968","0.912","0.308","-0.003","-1.772","0"
"2021/01/01","00:00","2.566","1.45","1.365","0.755","0.715","0.066","-0.243","-1.883","0"
"2021/02/01","00:00","2.608","1.591","1.549","1.001","0.971","0.394","0.069","-1.04","0"
"2021/03/01","00:00","3.501","1.955","1.834","1.43","1.386","0.938","0.633","-1.063","0"
"2021/04/01","00:00","3.944","2.398","2.31","1.791","1.763","1.217","0.935","-0.184","0"
