"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2012/03/01","00:00","0.899","0.367","0.312","0.082","0.087","-0.138","-0.197","-0.83","0"
"2012/04/01","00:00","0.741","0.322","0.253","-0.003","0.011","-0.23","-0.302","-1.033","0"
"2012/05/01","00:00","1.158","0.61","0.486","0.236","0.228","-0.03","-0.118","-1.28","0"
"2012/06/01","00:00","2.07","1.224","1.135","0.902","0.899","0.663","0.568","-0.361","0"
"2012/07/01","00:00","2.421","1.424","1.306","1.047","1.035","0.764","0.623","-0.02","0"
"2012/08/01","00:00","2.579","1.804","1.765","1.49","1.496","1.227","1.07","-0.052","0"
"2012/09/01","00:00","2.667","1.214","1.05","0.784","0.753","0.456","0.374","-0.837","0"
"2012/10/01","00:00","2.579","1.572","1.49","1.181","1.179","0.869","0.794","-0.502","0"
"2012/11/01","00:00","3.104","0.971","0.797","0.538","0.531","0.266","0.144","-0.745","0"
"2012/12/01","00:00","1.483","0.696","0.541","0.292","0.297","0.052","-0.062","-0.787","0"
"2013/01/01","00:00","1.22","0.282","0.194","-0.075","-0.051","-0.295","-0.407","-1.089","0"
"2013/02/01","00:00","0.873","0.259","0.174","-0.066","-0.074","-0.322","-0.42","-2.283","0"
"2013/03/01","00:00","0.531","-0.305","-0.423","-0.853","-0.823","-1.224","-1.388","-3.425","0"
"2013/04/01","00:00","1.522","0.095","-0.049","-0.325","-0.328","-0.607","-0.696","-1.093","0"
"2013/05/01","00:00","1.296","0.358","0.2","-0.095","-0.095","-0.39","-0.495","-1.286","0"
"2013/06/01","00:00","1.64","1.142","1.027","0.784","0.791","0.554","0.436","-0.364","0"
"2013/07/01","00:00","2.785","1.332","1.201","0.948","0.945","0.689","0.568","-0.427","0"
"2013/10/01","00:00","2.041","1.079","0.942","0.643","0.635","0.328","0.194","-0.846","0"
"2013/11/01","00:00","3.566","1.319","1.109","0.876","0.848","0.587","0.469","-0.833","0"
"2013/12/01","00:00","1.988","0.745","0.577","0.312","0.297","0.016","-0.125","-0.951","0"
"2014/01/01","00:00","1.411","0.495","0.394","0.118","0.13","-0.135","-0.243","-1.322","0"
